"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DR09-02535","DR09-02535-1","JU09010","LAURA LYNN ORANGE JUICE 4/128 OZ",1601,"Manna Food Bank","FOODBANK",7/1/09,72710,8/3/09,996,"CS",35856
"DR09-02529","DR09-02529-1","JU09010","LAURA LYNN ORANGE JUICE 4/128 OZ",1533,"Inter-Faith Food Shuttle","FOODBANK",7/1/09,72605,8/3/09,1134,"CS",40824
"DR09-02571","DR09-02571-1","JU09010","LAURA LYNN ORANGE JUICE 4/128 OZ",1601,"Manna Food Bank","FOODBANK",7/1/09,72905,8/3/09,1318,"CS",47448
"DR09-02556","DR09-02556-1","CD09001","PICKLES ASSORTED - WEIGH",1646,"Mt Olive Pickle Co","LOCAL",7/2/09,72782,12/31/99,1,"LB",1
"DR09-02592","DR09-02592-1","PR09002","VEGETABLES - WEIGH",1074,"Bonus Freight Donations","LOCAL",7/2/09,73035,12/31/99,30,"LB",30
"DR09-02606","DR09-02606-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2980,"Kroger #336","A2H LOCAL",7/2/09,73051,12/31/99,35,"LB",35
"DS09-00966","DS09-00966-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2815,"Food Lion # 834","A2H LOCAL",7/2/09,72701,12/31/99,37,"LB",37
"DG09-00590","DG09-00590-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/2/09,72665,12/31/99,37,"LB",37
"DR09-02614","DR09-02614-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1300,"Food Lion 1481","A2H LOCAL",7/2/09,73059,12/31/99,40,"LB",40
"DS09-00967","DS09-00967-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1353,"Food Lion 528","A2H LOCAL",7/2/09,72702,12/31/99,47,"LB",47
"DS09-00963","DS09-00963-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2305,"Lowes Foods - Pinehurst","LOCAL",7/2/09,72625,12/31/99,47,"LB",47
"DR09-02610","DR09-02610-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1316,"Food Lion 193","A2H LOCAL",7/2/09,73055,12/31/99,55,"LB",55
"DR09-02608","DR09-02608-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2984,"Kroger #355","A2H LOCAL",7/2/09,73053,12/31/99,55,"LB",55
