"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DG09-01172","DG09-01172-1","SHFP2009","FROZEN - WEIGH",2904,"Food Lion # 2580","A2H LOCAL",10/30/09,80010,12/31/99,532,"LB",532
"DS09-01696","DS09-01696-1","SHBR2009","BAKED - WEIGH",2794,"Food Lion # 528","A2H LOCAL",10/30/09,80081,12/31/99,637,"LB",637
"DR09-04392","DR09-04392-1","PF09001","PREPARED SALADS - WEIGH",2254,"Sysco Foodservice","A2H LOCAL",10/30/09,80236,12/31/99,640,"LB",640
"DG09-01150","DG09-01150-1","SHFP2009","FROZEN - WEIGH",2814,"Food Lion # 825","A2H LOCAL",10/30/09,79951,12/31/99,650,"LB",650
"DG09-01178","DG09-01178-1","SHFP2009","FROZEN - WEIGH",2763,"Food Lion # 146","A2H LOCAL",10/30/09,80026,12/31/99,679,"LB",679
"DS09-01700","DS09-01700-1","SHFP2009","FROZEN - WEIGH",2815,"Food Lion # 834","A2H LOCAL",10/30/09,80094,12/31/99,679,"LB",679
"DG09-01185","DG09-01185-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2309,"Wal-Mart Supercenter #2864","A2H LOCAL",10/30/09,80037,12/31/99,682,"LB",682
"DG09-01155","DG09-01155-1","SHFP2009","FROZEN - WEIGH",2790,"Food Lion # 486","A2H LOCAL",10/30/09,79964,12/31/99,682,"LB",682
"DS09-01694","DS09-01694-1","SHBR2009","BAKED - WEIGH",2847,"Food Lion # 1349","A2H LOCAL",10/30/09,80076,12/31/99,710,"LB",710
"DG09-01176","DG09-01176-1","SHFP2009","FROZEN - WEIGH",2824,"Food Lion # 981","A2H LOCAL",10/30/09,80022,12/31/99,713,"LB",713
"DG09-01148","DG09-01148-1","SHBR2009","BAKED - WEIGH",2538,"Food Lion 1657","A2H LOCAL",10/30/09,79942,12/31/99,735,"LB",735
"DG09-01188","DG09-01188-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1790,"Sam's Club#9","A2H LOCAL",10/30/09,80040,12/31/99,744,"LB",744
"DG09-01174","DG09-01174-1","SHFP2009","FROZEN - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",10/30/09,80017,12/31/99,769,"LB",769
"DS09-01696","DS09-01696-1","SHPR2009","PRODUCE - WEIGH",2794,"Food Lion # 528","A2H LOCAL",10/30/09,80082,12/31/99,784,"LB",784
"DG09-01162","DG09-01162-1","SHBR2009","BAKED - WEIGH",2850,"Food Lion # 1373","A2H LOCAL",10/30/09,79983,12/31/99,825,"LB",825
"DG09-01174","DG09-01174-1","SHBR2009","BAKED - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",10/30/09,80016,12/31/99,856,"LB",856
"DG09-01160","DG09-01160-1","SHFP2009","FROZEN - WEIGH",2913,"Food Lion # 2635","A2H LOCAL",10/30/09,79977,12/31/99,917,"LB",917
"DG09-01176","DG09-01176-1","SHBR2009","BAKED - WEIGH",2824,"Food Lion # 981","A2H LOCAL",10/30/09,80021,12/31/99,920,"LB",920
"DG09-01169","DG09-01169-1","SHBR2009","BAKED - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",10/30/09,79997,12/31/99,920,"LB",920
"DG09-01172","DG09-01172-1","SHBR2009","BAKED - WEIGH",2904,"Food Lion # 2580","A2H LOCAL",10/30/09,80009,12/31/99,940,"LB",940
"DG09-01161","DG09-01161-1","SHPR2009","PRODUCE - WEIGH",2841,"Food Lion # 1291","A2H LOCAL",10/30/09,79982,12/31/99,950,"LB",950
"DG09-01168","DG09-01168-1","SHFP2009","FROZEN - WEIGH",1377,"Food Lion 683","A2H LOCAL",10/30/09,79996,12/31/99,957,"LB",957
"DG09-01154","DG09-01154-1","SHBR2009","BAKED - WEIGH",2864,"Food Lion # 1494","A2H LOCAL",10/30/09,79961,12/31/99,1000,"LB",1000
"DG09-01148","DG09-01148-1","SHFP2009","FROZEN - WEIGH",2538,"Food Lion 1657","A2H LOCAL",10/30/09,79944,12/31/99,1010,"LB",1010
"DG09-01169","DG09-01169-1","SHPR2009","PRODUCE - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",10/30/09,79999,12/31/99,1045,"LB",1045
"DS09-01693","DS09-01693-1","SHPR2009","PRODUCE - WEIGH",2842,"Food Lion # 1296","A2H LOCAL",10/30/09,80075,12/31/99,1065,"LB",1065
"DG09-01188","DG09-01188-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1790,"Sam's Club#9","A2H LOCAL",10/30/09,80041,12/31/99,1226,"LB",1226
"DG09-01146","DG09-01146-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2954,"Bimbo Bakeries","A2H LOCAL",10/30/09,79892,12/31/99,1240,"LB",1240
"DS09-01694","DS09-01694-1","SHPR2009","PRODUCE - WEIGH",2847,"Food Lion # 1349","A2H LOCAL",10/30/09,80078,12/31/99,1260,"LB",1260
"DG09-01148","DG09-01148-1","SHPR2009","PRODUCE - WEIGH",2538,"Food Lion 1657","A2H LOCAL",10/30/09,79945,12/31/99,1270,"LB",1270
"DG09-01171","DG09-01171-1","SHBR2009","BAKED - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",10/30/09,80006,12/31/99,1281,"LB",1281
"DG09-01177","DG09-01177-1","SHBR2009","BAKED - WEIGH",2881,"Food Lion # 1674","A2H LOCAL",10/30/09,80023,12/31/99,1294,"LB",1294
"DG09-01155","DG09-01155-1","SHPR2009","PRODUCE - WEIGH",2790,"Food Lion # 486","A2H LOCAL",10/30/09,79965,12/31/99,1317,"LB",1317
"DR09-04517","DR09-04517-1","DY09001","DAIRY ASSORTED - WEIGH",2356,"Wal-Mart Supercenter #1237","A2H LOCAL",10/30/09,80422,12/31/99,1335,"LB",1335
"DG09-01157","DG09-01157-1","SHBR2009","BAKED - WEIGH",1333,"Food Lion 284","A2H LOCAL",10/30/09,79968,12/31/99,1367,"LB",1367
"DS09-01692","DS09-01692-1","SHBR2009","BAKED - WEIGH",2871,"Food Lion # 1586","A2H LOCAL",10/30/09,80071,12/31/99,1378,"LB",1378
"DG09-01170","DG09-01170-1","SHBR2009","BAKED - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",10/30/09,80003,12/31/99,1389,"LB",1389
"DG09-01173","DG09-01173-1","SHBR2009","BAKED - WEIGH",2887,"Food Lion # 2108","A2H LOCAL",10/30/09,80012,12/31/99,1424,"LB",1424
"DG09-01161","DG09-01161-1","SHBR2009","BAKED - WEIGH",2841,"Food Lion # 1291","A2H LOCAL",10/30/09,79980,12/31/99,1500,"LB",1500
"DG09-01160","DG09-01160-1","SHBR2009","BAKED - WEIGH",2913,"Food Lion # 2635","A2H LOCAL",10/30/09,79976,12/31/99,1564,"LB",1564
"DG09-01155","DG09-01155-1","SHBR2009","BAKED - WEIGH",2790,"Food Lion # 486","A2H LOCAL",10/30/09,79963,12/31/99,1588,"LB",1588
"DG09-01165","DG09-01165-1","SHFP2009","FROZEN - WEIGH",2778,"Food Lion # 279","A2H LOCAL",10/30/09,79989,12/31/99,1640,"LB",1640
"DS09-01692","DS09-01692-1","SHFP2009","FROZEN - WEIGH",2871,"Food Lion # 1586","A2H LOCAL",10/30/09,80072,12/31/99,1664,"LB",1664
"DG09-01177","DG09-01177-1","SHPR2009","PRODUCE - WEIGH",2881,"Food Lion # 1674","A2H LOCAL",10/30/09,80024,12/31/99,1786,"LB",1786
"DS09-01699","DS09-01699-1","SHPR2009","PRODUCE - WEIGH",1371,"Food Lion 612","A2H LOCAL",10/30/09,80091,12/31/99,1792,"LB",1792
"DG09-01171","DG09-01171-1","SHFP2009","FROZEN - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",10/30/09,80007,12/31/99,1839,"LB",1839
"DS09-01699","DS09-01699-1","SHBR2009","BAKED - WEIGH",1371,"Food Lion 612","A2H LOCAL",10/30/09,80089,12/31/99,1843,"LB",1843
"DS09-01693","DS09-01693-1","SHFP2009","FROZEN - WEIGH",2842,"Food Lion # 1296","A2H LOCAL",10/30/09,80074,12/31/99,1851,"LB",1851
"DG09-01159","DG09-01159-1","SHBR2009","BAKED - WEIGH",2840,"Food Lion # 1282","A2H LOCAL",10/30/09,79972,12/31/99,1852,"LB",1852
"DG09-01166","DG09-01166-1","SHFP2009","FROZEN - WEIGH",2844,"Food Lion # 1332","A2H LOCAL",10/30/09,79992,12/31/99,1907,"LB",1907
"DS09-01697","DS09-01697-1","SHFP2009","FROZEN - WEIGH",2804,"Food Lion # 690","A2H LOCAL",10/30/09,80084,12/31/99,1935,"LB",1935
"DS09-01697","DS09-01697-1","SHBR2009","BAKED - WEIGH",2804,"Food Lion # 690","A2H LOCAL",10/30/09,80083,12/31/99,2020,"LB",2020
"DG09-01173","DG09-01173-1","SHPR2009","PRODUCE - WEIGH",2887,"Food Lion # 2108","A2H LOCAL",10/30/09,80014,12/31/99,2032,"LB",2032
"DS09-01693","DS09-01693-1","SHBR2009","BAKED - WEIGH",2842,"Food Lion # 1296","A2H LOCAL",10/30/09,80073,12/31/99,2038,"LB",2038
"DG09-01152","DG09-01152-1","SHFP2009","FROZEN - WEIGH",2900,"Food Lion # 2556","A2H LOCAL",10/30/09,79957,12/31/99,2085,"LB",2085
"DG09-01173","DG09-01173-1","SHFP2009","FROZEN - WEIGH",2887,"Food Lion # 2108","A2H LOCAL",10/30/09,80013,12/31/99,2091,"LB",2091
"DS09-01697","DS09-01697-1","SHPR2009","PRODUCE - WEIGH",2804,"Food Lion # 690","A2H LOCAL",10/30/09,80085,12/31/99,2097,"LB",2097
"DG09-01147","DG09-01147-1","BV09002","SODAS DIET ASSORTED - WEIGH",3007,"Coca-Cola","A2H LOCAL",10/30/09,79893,12/31/99,2200,"LB",2200
"DG09-01152","DG09-01152-1","SHPR2009","PRODUCE - WEIGH",2900,"Food Lion # 2556","A2H LOCAL",10/30/09,79958,12/31/99,2220,"LB",2220
"DS09-01698","DS09-01698-1","SHFP2009","FROZEN - WEIGH",2917,"Food Lion 1237","A2H LOCAL",10/30/09,80087,12/31/99,2268,"LB",2268
"DS09-01699","DS09-01699-1","SHFP2009","FROZEN - WEIGH",1371,"Food Lion 612","A2H LOCAL",10/30/09,80090,12/31/99,2332,"LB",2332
"DG09-01169","DG09-01169-1","SHFP2009","FROZEN - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",10/30/09,79998,12/31/99,2495,"LB",2495
"DS09-01681","DS09-01681-1","BPFD001","Back Pack Food Drive Weigh",1586,"LOCAL FOOD DRIVES","LOCAL",10/30/09,79933,12/31/99,2500,"LB",2500
"DG09-01149","DG09-01149-1","SHFP2009","FROZEN - WEIGH",2813,"Food Lion # 817","A2H LOCAL",10/30/09,79947,12/31/99,2510,"LB",2510
"DG09-01149","DG09-01149-1","SHPR2009","PRODUCE - WEIGH",2813,"Food Lion # 817","A2H LOCAL",10/30/09,79949,12/31/99,2640,"LB",2640
"DG09-01150","DG09-01150-1","SHPR2009","PRODUCE - WEIGH",2814,"Food Lion # 825","A2H LOCAL",10/30/09,79952,12/31/99,2640,"LB",2640
"DG09-01160","DG09-01160-1","SHPR2009","PRODUCE - WEIGH",2913,"Food Lion # 2635","A2H LOCAL",10/30/09,79978,12/31/99,2712,"LB",2712
"DS09-01681","DS09-01681-1","BPFD001","Back Pack Food Drive Weigh",1586,"LOCAL FOOD DRIVES","LOCAL",10/30/09,79922,12/31/99,2758,"LB",2758
"DG09-01164","DG09-01164-1","SHBR2009","BAKED - WEIGH",2865,"Food Lion # 1495","A2H LOCAL",10/30/09,79986,12/31/99,2800,"LB",2800
"DG09-01159","DG09-01159-1","SHFP2009","FROZEN - WEIGH",2840,"Food Lion # 1282","A2H LOCAL",10/30/09,79973,12/31/99,2920,"LB",2920
"DS09-01701","DS09-01701-1","SHBR2009","BAKED - WEIGH",1340,"Food Lion 353","A2H LOCAL",10/30/09,80097,12/31/99,2952,"LB",2952
"DG09-01154","DG09-01154-1","SHFP2009","FROZEN - WEIGH",2864,"Food Lion # 1494","A2H LOCAL",10/30/09,79962,12/31/99,2975,"LB",2975
"DG09-01166","DG09-01166-1","SHPR2009","PRODUCE - WEIGH",2844,"Food Lion # 1332","A2H LOCAL",10/30/09,79993,12/31/99,2980,"LB",2980
"DG09-01166","DG09-01166-1","SHBR2009","BAKED - WEIGH",2844,"Food Lion # 1332","A2H LOCAL",10/30/09,79991,12/31/99,3020,"LB",3020
"DG09-01163","DG09-01163-1","SHBR2009","BAKED - WEIGH",2810,"Food Lion # 775","A2H LOCAL",10/30/09,79984,12/31/99,3060,"LB",3060
"DG09-01151","DG09-01151-1","SHFP2009","FROZEN - WEIGH",2849,"Food Lion # 1368","A2H LOCAL",10/30/09,79954,12/31/99,3060,"LB",3060
"DG09-01165","DG09-01165-1","SHBR2009","BAKED - WEIGH",2778,"Food Lion # 279","A2H LOCAL",10/30/09,79988,12/31/99,3100,"LB",3100
"DG09-01170","DG09-01170-1","SHFP2009","FROZEN - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",10/30/09,80004,12/31/99,3429,"LB",3429
"DG09-01151","DG09-01151-1","SHPR2009","PRODUCE - WEIGH",2849,"Food Lion # 1368","A2H LOCAL",10/30/09,79955,12/31/99,3445,"LB",3445
"DG09-01171","DG09-01171-1","SHPR2009","PRODUCE - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",10/30/09,80008,12/31/99,3822,"LB",3822
"DG09-01150","DG09-01150-1","SHBR2009","BAKED - WEIGH",2814,"Food Lion # 825","A2H LOCAL",10/30/09,79950,12/31/99,3870,"LB",3870
"DG09-01152","DG09-01152-1","SHBR2009","BAKED - WEIGH",2900,"Food Lion # 2556","A2H LOCAL",10/30/09,79956,12/31/99,4150,"LB",4150
"DG09-01164","DG09-01164-1","SHFP2009","FROZEN - WEIGH",2865,"Food Lion # 1495","A2H LOCAL",10/30/09,79987,12/31/99,4170,"LB",4170
"DG09-01151","DG09-01151-1","SHBR2009","BAKED - WEIGH",2849,"Food Lion # 1368","A2H LOCAL",10/30/09,79953,12/31/99,4525,"LB",4525
"DG09-01163","DG09-01163-1","SHFP2009","FROZEN - WEIGH",2810,"Food Lion # 775","A2H LOCAL",10/30/09,79985,12/31/99,4590,"LB",4590
"DS09-01698","DS09-01698-1","SHBR2009","BAKED - WEIGH",2917,"Food Lion 1237","A2H LOCAL",10/30/09,80086,12/31/99,4600,"LB",4600
"DG09-01149","DG09-01149-1","SHBR2009","BAKED - WEIGH",2813,"Food Lion # 817","A2H LOCAL",10/30/09,79946,12/31/99,4990,"LB",4990
"DS09-01698","DS09-01698-1","SHPR2009","PRODUCE - WEIGH",2917,"Food Lion 1237","A2H LOCAL",10/30/09,80088,12/31/99,5143,"LB",5143
"DG09-01165","DG09-01165-1","SHPR2009","PRODUCE - WEIGH",2778,"Food Lion # 279","A2H LOCAL",10/30/09,79990,12/31/99,5160,"LB",5160
"DR09-04522","DR09-04522-1","FD09001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",10/30/09,80428,12/31/99,6235,"LB",6235
"DR09-04533","DR09-04533-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2242,"Bimbo Bakeries","A2H LOCAL",10/30/09,80452,12/31/99,8000,"LB",8000
"DR09-04393","DR09-04393-1","BV09002","SODAS DIET ASSORTED - WEIGH",1152,"COCA-COLA DURHAM","A2H LOCAL",10/30/09,80242,12/31/99,10000,"LB",10000
"DR09-04523","DR09-04523-1","FD09001","FOOD DRIVE - WEIGH",1529,"INDIVIDUAL DONORS","LOCAL",10/30/09,80429,12/31/99,10475,"LB",10475
"DR09-04380","DR09-04380-1","BV09002","SODAS DIET ASSORTED - WEIGH",1726,"Pepsi Cola - Garner","A2H LOCAL",10/30/09,80000,12/31/99,21080,"LB",21080
"DR09-04393","DR09-04393-1","BV09001","SODAS ASSORTED - WEIGH",1152,"COCA-COLA DURHAM","A2H LOCAL",10/30/09,80240,12/31/99,27076,"LB",27076
,"DCR09-00133","HT2009","FROZEN RESETS - WEIGH",2095,"Harris Teeter Resets","LOCAL",10/31/09,80439,12/31/99,-303,"LB",-303
"DW09-00781","DW09-00781-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2199,"Wal-Mart Supercenter #1767","A2H LOCAL",10/31/09,80193,12/31/99,38,"LB",38
"DW09-00781","DW09-00781-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2199,"Wal-Mart Supercenter #1767","A2H LOCAL",10/31/09,80191,12/31/99,43,"LB",43
"DW09-00781","DW09-00781-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2199,"Wal-Mart Supercenter #1767","A2H LOCAL",10/31/09,80194,12/31/99,49,"LB",49
"DW09-00777","DW09-00777-1","SA09001","SALVAGE - WEIGH",2117,"Wal-Mart Supercenter #1392","A2H LOCAL",10/31/09,80158,12/31/99,50,"LB",50
"DW09-00777","DW09-00777-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2117,"Wal-Mart Supercenter #1392","A2H LOCAL",10/31/09,80157,12/31/99,118,"LB",118
"DR09-04511","DR09-04511-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2214,"Wal-Mart Supercenter #2256","A2H LOCAL",10/31/09,80412,12/31/99,124,"LB",124
"DW09-00780","DW09-00780-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2314,"Wal-Mart Supercenter #4273","A2H LOCAL",10/31/09,80184,12/31/99,139,"LB",139
"DW09-00778","DW09-00778-1","SA09001","SALVAGE - WEIGH",3021,"Wal-Mart Supercenter #1268","A2H LOCAL",10/31/09,80169,12/31/99,156,"LB",156
"DR09-04528","DR09-04528-1","HT2009","FROZEN RESETS - WEIGH",2095,"Harris Teeter Resets","LOCAL",10/31/09,80439,12/31/99,303,"LB",303
"DW09-00782","DW09-00782-1","SA09001","SALVAGE - WEIGH",2280,"Target Stores","A2H LOCAL",10/31/09,80207,12/31/99,309,"LB",309
"DW09-00780","DW09-00780-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2314,"Wal-Mart Supercenter #4273","A2H LOCAL",10/31/09,80183,12/31/99,476,"LB",476
"DW09-00779","DW09-00779-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1788,"SAM'S CLUB #6","A2H LOCAL",10/31/09,80176,12/31/99,1033,"LB",1033
"DW09-00779","DW09-00779-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1788,"SAM'S CLUB #6","A2H LOCAL",10/31/09,80174,12/31/99,1190,"LB",1190
"DS09-01707","DS09-01707-1","FD09001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",11/2/09,80441,12/31/99,8,"LB",8
"DS09-01706","DS09-01706-1","DY09001","DAIRY ASSORTED - WEIGH",2306,"The Fresh Market","LOCAL",11/2/09,80435,12/31/99,18,"LB",18
"DR09-04560","DR09-04560-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2317,"Wal-Mart Supercenter #4458","A2H LOCAL",11/2/09,80502,12/31/99,24,"LB",24
"DS09-01711","DS09-01711-1","DY09001","DAIRY ASSORTED - WEIGH",3016,"Wal-Mart Supercenter #1097","A2H LOCAL",11/2/09,80471,12/31/99,26,"LB",26
"DR09-04642","DR09-04642-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2984,"Kroger #355","A2H LOCAL",11/2/09,80901,12/31/99,30,"LB",30
"DS09-01709","DS09-01709-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",3015,"Wal-Mart Supercenter #1010","A2H LOCAL",11/2/09,80462,12/31/99,35,"LB",35
"DG09-01200","DG09-01200-1","MI09005","MISC. FOOD PRODUCT - WEIGH",3024,"Wal-Mart Supercenter #1300","A2H LOCAL",11/2/09,80762,12/31/99,38,"LB",38
"DR09-04541","DR09-04541-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1297,"Food Lion 1454","A2H LOCAL",11/2/09,80477,12/31/99,40,"LB",40
"DW09-00785","DW09-00785-1","FP09001","FROZEN PRODUCT ASST. - WEIGH",2117,"Wal-Mart Supercenter #1392","A2H LOCAL",11/2/09,80510,12/31/99,41,"LB",41
"DS09-01710","DS09-01710-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",3020,"Wal-Mart Supercenter #1255","A2H LOCAL",11/2/09,80466,12/31/99,42,"LB",42
"DG09-01197","DG09-01197-1","RM09001","RETAIL MEAT FROZEN - WEIGH",3023,"Wal-Mart Supercenter #1298","LOCAL",11/2/09,80758,12/31/99,42,"LB",42
"DW09-00789","DW09-00789-1","FP09001","FROZEN PRODUCT ASST. - WEIGH",2314,"Wal-Mart Supercenter #4273","A2H LOCAL",11/2/09,80524,12/31/99,47,"LB",47
"DW09-00791","DW09-00791-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",3021,"Wal-Mart Supercenter #1268","A2H LOCAL",11/2/09,80528,12/31/99,50,"LB",50
"DS09-01691","DS09-01691-1","FD09001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",11/2/09,80070,12/31/99,57,"LB",57
"DS09-01705","DS09-01705-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1353,"Food Lion 528","A2H LOCAL",11/2/09,80434,12/31/99,71,"LB",71
"DS09-01708","DS09-01708-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2211,"Wal-Mart Supercenter #1774","A2H LOCAL",11/2/09,80458,12/31/99,75,"LB",75
"DR09-04559","DR09-04559-1","EG09001","EGGS GRADE B SMALL - DOZEN",2356,"Wal-Mart Supercenter #1237","A2H LOCAL",11/2/09,80499,12/31/99,39,"CS",78
"DW09-00791","DW09-00791-1","MI09005","MISC. FOOD PRODUCT - WEIGH",3021,"Wal-Mart Supercenter #1268","A2H LOCAL",11/2/09,80529,12/31/99,80,"LB",80
"DW09-00785","DW09-00785-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2117,"Wal-Mart Supercenter #1392","A2H LOCAL",11/2/09,80509,12/31/99,85,"LB",85
"DG09-01201","DG09-01201-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2295,"Wal-Mart Supercenter #3825","A2H LOCAL",11/2/09,80763,12/31/99,86,"LB",86
"DS09-01703","DS09-01703-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2305,"Lowes Foods - Pinehurst","LOCAL",11/2/09,80262,12/31/99,95,"LB",95
"DR09-04542","DR09-04542-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1298,"Food Lion 1459","A2H LOCAL",11/2/09,80479,12/31/99,100,"LB",100
"DS09-01702","DS09-01702-1","PR09002","VEGETABLES - WEIGH",1340,"Food Lion 353","A2H LOCAL",11/2/09,80261,12/31/99,106,"LB",106
"DS09-01710","DS09-01710-1","RM09001","RETAIL MEAT FROZEN - WEIGH",3020,"Wal-Mart Supercenter #1255","A2H LOCAL",11/2/09,80467,12/31/99,108,"LB",108
"DW09-00785","DW09-00785-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2117,"Wal-Mart Supercenter #1392","A2H LOCAL",11/2/09,80511,12/31/99,110,"LB",110
"DR09-04553","DR09-04553-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2181,"Wal-Mart Supercenter #1664","A2H LOCAL",11/2/09,80490,12/31/99,115,"LB",115
"DG09-01189","DG09-01189-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1390,"Food Lion 779","A2H LOCAL",11/2/09,80503,12/31/99,126,"LB",126
"DG09-01202","DG09-01202-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2111,"Wal-Mart Supercenter #1355","A2H LOCAL",11/2/09,80764,12/31/99,126,"LB",126
"DW09-00789","DW09-00789-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2314,"Wal-Mart Supercenter #4273","A2H LOCAL",11/2/09,80525,12/31/99,132,"LB",132
"DW09-00788","DW09-00788-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2228,"Wal-Mart Supercenter #2772","A2H LOCAL",11/2/09,80520,12/31/99,133,"LB",133
"DD09-01539","DD09-01539-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1281,"Food Lion 1099","A2H LOCAL",11/2/09,80585,12/31/99,135,"LB",135
"DD09-01541","DD09-01541-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1295,"Food Lion 142","A2H LOCAL",11/2/09,80587,12/31/99,135,"LB",135
"DS09-01711","DS09-01711-1","SA09001","SALVAGE - WEIGH",3016,"Wal-Mart Supercenter #1097","A2H LOCAL",11/2/09,80470,12/31/99,136,"LB",136
"DD09-01545","DD09-01545-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1324,"Food Lion 234","A2H LOCAL",11/2/09,80591,12/31/99,142,"LB",142
"DW09-00790","DW09-00790-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2199,"Wal-Mart Supercenter #1767","A2H LOCAL",11/2/09,80527,12/31/99,142,"LB",142
"DW09-00789","DW09-00789-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2314,"Wal-Mart Supercenter #4273","A2H LOCAL",11/2/09,80523,12/31/99,145,"LB",145
"DW09-00785","DW09-00785-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2117,"Wal-Mart Supercenter #1392","A2H LOCAL",11/2/09,80508,12/31/99,159,"LB",159
"DR09-04556","DR09-04556-1","RM09001","RETAIL MEAT FROZEN - WEIGH",3019,"Wal-Mart Supercenter #1236","A2H LOCAL",11/2/09,80494,12/31/99,160,"LB",160
"DS09-01710","DS09-01710-1","PR09002","VEGETABLES - WEIGH",3020,"Wal-Mart Supercenter #1255","A2H LOCAL",11/2/09,80468,12/31/99,161,"LB",161
"DW09-00788","DW09-00788-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2228,"Wal-Mart Supercenter #2772","A2H LOCAL",11/2/09,80521,12/31/99,176,"LB",176
"DG09-01197","DG09-01197-1","MI09005","MISC. FOOD PRODUCT - WEIGH",3023,"Wal-Mart Supercenter #1298","LOCAL",11/2/09,80759,12/31/99,176,"LB",176
"DR09-04634","DR09-04634-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2976,"Kroger #306","A2H LOCAL",11/2/09,80865,12/31/99,180,"LB",180
"DR09-04639","DR09-04639-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2976,"Kroger #306","A2H LOCAL",11/2/09,80897,12/31/99,180,"LB",180
"DS09-01708","DS09-01708-1","SA09001","SALVAGE - WEIGH",2211,"Wal-Mart Supercenter #1774","A2H LOCAL",11/2/09,80457,12/31/99,188,"LB",188
"DS09-01709","DS09-01709-1","SA09001","SALVAGE - WEIGH",3015,"Wal-Mart Supercenter #1010","A2H LOCAL",11/2/09,80461,12/31/99,189,"LB",189
"DR09-04544","DR09-04544-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1306,"Food Lion 1496","A2H LOCAL",11/2/09,80481,12/31/99,195,"LB",195
"DG09-01199","DG09-01199-1","MI09005","MISC. FOOD PRODUCT - WEIGH",2153,"Walmart Supercenter #1661","A2H LOCAL",11/2/09,80761,12/31/99,200,"LB",200
"DR09-04549","DR09-04549-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1366,"Food Lion 586","A2H LOCAL",11/2/09,80486,12/31/99,207,"LB",207
"DR09-04551","DR09-04551-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1403,"Food Lion 938","A2H LOCAL",11/2/09,80488,12/31/99,207,"LB",207
